"riactivityId","riactivityTypeName","year","date","domainName","interventionAreaName"
"CORDIS-103941","FP7",2012,"2012-06-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS1076U","Patent",2009,"2009-01-01","Transport","Clean transport and mobility"
"docdbME01500B","Patent",2014,"2014-01-01","Transport","Clean transport and mobility"
"CORDIS-90323","FP7",2008,"2008-09-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS20140094A1","Patent",2015,"2015-01-01","Heavy machinery","Noncommunicable and rare diseases"
"CORDIS-90198","FP7",2009,"2009-04-01","Better societies - governance, culture, education and the economy","Cultural heritage"
"docdbRS20120460A1","Patent",2014,"2014-01-01","Process industries and materials","Advanced materials"
"docdbRS20150241A1","Patent",2016,"2016-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-91014","FP7",2009,"2009-03-01","Better societies - governance, culture, education and the economy","Artificial intelligence and robotics"
"CORDIS-96237","FP7",2010,"2010-01-01","ICT","Artificial intelligence and robotics"
"CORDIS-200118","H2020",2016,"2016-03-01","Better societies - governance, culture, education and the economy","Social and economic transformations"
"docdbRS1442U1","Patent",2016,"2016-01-01","Heavy machinery","Low-carbon and clean industries"
