"riactivityId","affiliationName","countryName","riactivityType"
"docdbWO2008030141A1","Bosnalijek d. d. Pharmaceuticals","Bosnia and Herzegovina","Patent"
"docdbRS20080286A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080190A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-91936","Mihajlo Pupin Institute (U Belgrade)","Serbia","FP7"
"docdbRS931U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2011129712A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100197A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-210512","SARAJEVSKA REGIONALNA RAZVOJNA AGENCIJA SERDA DOO SARAJEVO","Bosnia and Herzegovina","H2020"
"EUREKA-Network_Projects-1670","University of Belgrade","Serbia","Eureka"
"docdbWO2013043073A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS859U","SB GRADNJA PLUS D O O ","Serbia","Patent"
"docdbRS20070026A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-211876","NAFTNA INDUSTRIJA SRBIJE AD","Serbia","H2020"
"docdbRS20130451A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20110184A1","KARTEKS ","Serbia","Patent"
"docdbRS20080524A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070491A","J N J EXP & IMP ","Serbia","Patent"
"docdbWO2012091594A2","University of Niš","Serbia","Patent"
"docdbRS1287U","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2008040754A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"docdbRS44604A","Galenika A.d.","Serbia","Patent"
"docdbRS20100406A2","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-191849","FONDACIJA METAMORFOZIS","Macedonia","CIP"
"docdbRS20060376A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070373A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS961U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1376U","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP1984576A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbWO2007052158A2","Individual applicant (Montenegro)","Montenegro","Patent"
"docdbRS20070134A","Individual applicant (Serbia)","Serbia","Patent"
"578164-CREA-1-2016-1-RS-CULT-LIT1","IZDAVACKO PREDUZECE SEZAM BOOK DOO","Serbia","Creative Europe"
"docdbWO2013110287A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-100462","Macedonian Geothermal Association","Macedonia","FP7"
"docdbME00560A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20120417A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-194361","CO-PLAN INSTITUTI PER ZHVILLIMIN EHABIITATIT","Albania","H2020"
"docdbRS20050360A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1265U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050416A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-86416","Ss. Cyril and Methodius University of Skopje","Macedonia","FP7"
"docdbWO2013115665A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbKR20130130829A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070484A","Individual applicant (Serbia)","Serbia","Patent"
"docdbUS2015193920A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1332U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-200112","BEOGRADSKI CENTAR ZA BEZBEDNOSNU POLITIKU UDRUZENJE","Serbia","H2020"
"EUREKA-Network_Projects-1983","Win TIM d.o.o.","Serbia","Eureka"
"docdbRS1365U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090383A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060534A","GASOP DOO MESOVITO PREDUZECE ZA PROIZVODNJU OPRREME ZA PROTIVPOZARNU ZAS ","Serbia","Patent"
"594284-CREA-1-2017-1-RS-CULT-LIT1","SAMOSTALNA AGENCIJA ZA IZDAVASTVO ODISEJA VESNA KAPURANPREDUZETNIK BEOGRAD ODISEJA PUBLISHING","Serbia","Creative Europe"
"CORDIS-106339","Joint Stock Telecommunications Company Telekom Srbija a.d.","Serbia","FP7"
"docdbCR8551A","BASF AG ","Albania","Patent"
"docdbRS1306U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-204405","SWIFTTY DOO BEOGRAD-ZVEZDARA","Serbia","H2020"
"CORDIS-86416","Polytechnic University of Tirana","Albania","FP7"
"docdbUS2012262576A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060466A","Individual applicant (Serbia)","Serbia","Patent"
"docdbEP2277042A1","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-205705","NEXTGAME DIGITAL DOO BEOGRAD ZEMUN","Serbia","H2020"
"docdbRS1234U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-210227","MINISTARSTVO UNUTRASNJIH POSLOVA REPUBLIKE SRBIJE","Serbia","H2020"
"CORDIS-194817","SOUTH-EAST EUROPE TRANSPORT OBSERVATORY","Serbia","H2020"
"docdbRS20050650A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080541A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-100766","ERICSSON D.O.O FOR TELECOMMUNICATIONS","Serbia","FP7"
"docdbGB2491544A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20060629A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1115U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100494A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080161A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20050238A","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-91012","Minister of Information Society and Administration","Macedonia","FP7"
"docdbRS20090142A","University of Novi Sad","Serbia","Patent"
"CORDIS-95179","University of Novi Sad","Serbia","FP7"
"docdbRS841U","OMV JUGOSLAVIJA D O O ","Serbia","Patent"
"docdbRS20130566A1","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080209A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20070378A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1215U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-109893","COMPANY FOR ELECTRONICS, DESIGN AND PRODUCTION MIKROSAM IMPORT - EXPORT Prilep AD","Macedonia","FP7"
"docdbWO2009140742A1","Individual applicant (Bosnia and Herzegovina)","Bosnia and Herzegovina","Patent"
"CORDIS-109416","TEHNOLOSKI FAKULTET NOVI SAD","Serbia","FP7"
"docdbRS1162U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS1189U","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-110183","Macedonian Academy for Sciences and Arts","Macedonia","FP7"
"CORDIS-89906","University of Novi Sad","Serbia","FP7"
"docdbRS988U","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090543A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20100508A2","Individual applicant (Serbia)","Serbia","Patent"
"CORDIS-193822","ARRIVA LITAS DOO POZAREVAC","Serbia","H2020"
"docdbRS20100482A2","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20090131A","Individual applicant (Serbia)","Serbia","Patent"
"docdbRS20080481A","Individual applicant (Serbia)","Serbia","Patent"
